"Easy_Reservation","Preferred_Seats","Flight_Options","Ticket_Prices","Seat_Comfort","Seat_Roominess","Overhead_Storage","Clean_Aircraft","Courtesy","Friendliness","Helpfulness","Service","Satisfaction","Fly_Again","Recommend","ID","Airline"
6,5,4,5,5,7,5,7,5,4,6,6,6,6,3,1,"AirlineCo.1"
5,7,7,6,6,8,5,6,6,6,5,5,7,6,6,2,"AirlineCo.1"
6,6,5,6,7,6,7,7,6,6,6,6,7,6,5,3,"AirlineCo.1"
5,6,5,5,7,8,6,7,4,6,4,5,5,7,5,4,"AirlineCo.1"
4,5,3,6,6,7,5,7,2,3,4,3,4,4,4,5,"AirlineCo.1"
5,6,4,5,6,8,4,7,5,4,5,5,6,5,5,6,"AirlineCo.1"
6,6,6,5,6,6,4,6,5,5,5,5,5,3,6,7,"AirlineCo.1"
4,6,3,5,4,5,4,4,4,5,4,5,5,4,5,8,"AirlineCo.1"
6,5,4,5,6,7,5,6,5,4,3,3,4,7,8,9,"AirlineCo.1"
4,4,5,6,9,8,7,7,6,5,5,5,7,6,6,10,"AirlineCo.1"
5,7,6,7,7,8,6,7,4,6,5,6,6,8,8,11,"AirlineCo.1"
5,5,6,7,7,9,6,7,6,7,6,6,7,6,7,12,"AirlineCo.1"
6,7,6,6,6,7,7,7,4,5,5,5,6,5,6,13,"AirlineCo.1"
5,6,5,7,6,8,5,7,5,4,4,5,4,4,5,14,"AirlineCo.1"
5,6,6,7,6,6,4,6,5,4,5,4,4,6,6,15,"AirlineCo.1"
3,5,4,6,7,8,6,7,5,4,5,5,6,6,7,16,"AirlineCo.1"
6,7,4,8,7,8,6,7,6,6,5,5,7,6,7,17,"AirlineCo.1"
3,6,4,6,7,8,6,7,5,4,4,4,5,6,5,18,"AirlineCo.1"
4,6,4,5,6,8,5,7,4,3,4,3,6,4,4,19,"AirlineCo.1"
5,7,5,6,7,7,5,7,5,5,5,4,5,4,6,20,"AirlineCo.1"
5,6,4,6,7,9,8,9,4,5,5,5,7,6,7,21,"AirlineCo.1"
5,5,4,5,6,7,5,6,4,5,4,4,5,5,6,22,"AirlineCo.1"
5,6,5,6,7,7,4,6,5,6,7,5,6,6,6,23,"AirlineCo.1"
5,5,6,4,7,8,6,5,7,7,6,6,6,5,5,24,"AirlineCo.1"
4,7,7,6,7,7,6,7,4,5,5,4,4,7,6,25,"AirlineCo.1"
5,8,4,5,7,8,7,8,5,5,5,6,6,6,6,26,"AirlineCo.1"
6,5,5,7,6,8,6,8,5,5,5,5,6,6,7,27,"AirlineCo.1"
4,5,5,5,7,9,6,7,5,6,3,5,6,5,5,28,"AirlineCo.1"
5,5,4,6,7,5,6,7,4,5,5,6,6,5,5,29,"AirlineCo.1"
6,6,5,7,6,7,7,7,6,5,7,6,5,7,6,30,"AirlineCo.1"
4,6,5,6,8,9,7,7,4,5,5,5,7,8,7,31,"AirlineCo.1"
5,6,6,5,6,7,7,6,6,5,4,5,7,7,6,32,"AirlineCo.1"
5,4,5,6,8,9,7,9,5,6,7,6,7,7,6,33,"AirlineCo.1"
6,7,7,9,8,9,8,9,4,5,5,6,7,9,9,34,"AirlineCo.1"
6,7,4,7,8,9,7,8,4,4,4,4,8,7,8,35,"AirlineCo.1"
6,5,4,6,7,9,6,8,7,7,6,7,6,6,6,36,"AirlineCo.1"
4,7,5,5,6,7,5,5,4,4,4,4,5,5,5,37,"AirlineCo.1"
4,5,4,5,6,7,5,6,4,6,4,5,5,5,6,38,"AirlineCo.1"
6,4,6,8,7,8,7,7,3,2,4,4,3,5,5,39,"AirlineCo.1"
7,6,6,5,8,8,7,6,6,6,7,5,8,7,7,40,"AirlineCo.1"
4,7,6,6,9,9,7,6,6,6,7,6,8,6,5,41,"AirlineCo.1"
5,7,6,7,7,6,5,6,3,3,3,4,5,5,6,42,"AirlineCo.1"
4,7,5,7,6,8,4,7,6,5,5,6,7,5,5,43,"AirlineCo.1"
