
 DY  01MX  01MN  02MX  02MN  03MX  03MN  04MX  04MN  05MX  05MN  06MX  06MN  07MX  07MN  08MX  08MN  09MX  09MN  10MX  10MN  11MX  11MN  12MX  12MN
  1  60 -22  54 -27  71 -25  87   8  90  26  97  41 105  47  98  48 101  37  93  27  81  10  66  -4
  2  59 -21  60 -28  71 -14  85   9  89  26 101  40 101  47 100  48 100  36  94  25  77  10  63  -6
  3  50 -22  60 -26  75 -10  84   7  89  25  96  38  99  45 106  46  99  37  95  28  75   8  66 -15
  4  52 -25  60 -24  77 -10  89  11  92  18  95  36 105  46 104  46 102  37  91  24  73   2  66 -11
  5  63 -26  60 -27  75 -21  84  18  93  30 100  42 107  47 104  47 101  38  94  27  74  10  65 -11
  6  62 -23  57 -20  74 -14  89   8  93  29 101  36 100  48 100  48  99  39  93  20  75   9  66 -10
  7  59 -31  64 -24  77  -8  84  13  89  25  99  39 101  47  99  47 100  39  91  20  77  -3  61 -13
  8  63 -23  59 -25  76  -7  88  15  94  31 101  40 100  48 107  40  99  38  86  20  80  -6  68 -18
  9  56 -21  62 -27  74  -5  86  14  94  28 100  39 102  39 103  45 100  40  86  18  75  12  61 -17
 10  62 -25  65 -19  72  -6  90  18  95  27 102  40 104  40 100  46  98  36  89  23  75   9  59 -23
 11  55 -19  62 -27  69 -18  87  16  96  27  98  41 104  42  99  47  98  34  86  19  73  -4  62 -12
 12  57 -35  65 -21  74 -17  85  17  93  29  98  37 105  47 101  45  99  34  89  22  69   2  65 -20
 13  58 -25  61 -31  72  -5  89  17  91  30  98  42 106  46  98  43  96  31  89  12  80  -3  60 -18
 14  55 -30  64 -17  75  -6  89  19  97  30  97  39 108  47 101  47  98  33  89  18  73  -1  56 -19
 15  57 -25  72 -18  76   0  89  13  97  30  98  40 106  45 101  44  98  34  88  22  73  -2  57 -15
 16  58 -22  67 -20  82  -5  90  20  92  31  98  46 103  45 101  50  99  32  89  24  75   1  63 -22
 17  58 -21  68 -22  83 -12  88  20  91  31  98  41 103  44 102  43  95  34  86  20  74  -8  73 -12
 18  56 -22  66 -18  80  -3  92  18  94  34  97  45 103  52 107  46  94  31  86  21  74   3  63 -22
 19  52 -21  68 -20  80 -11  91  20  94  29 101  43 106  45  97  46  96  29  85  13  73   0  54 -19
 20  57 -22  67 -19  77   3  86  25  93  30 100  45 107  48  98  38  93  30  88  19  75   6  56 -18
 21  56 -26  63 -14  85  -4  92  20  90  33 100  41 108  48 101  44  92  26  88  12  71  -4  60 -22
 22  58 -26  67  -9  82 -10  97  21 100  32  98  42 107  44  98  43  98  25  88  17  68  -6  60 -23
 23  58 -22  67 -11  85   4  92  22  93  34 102  46 103  50  98  44  92  30  86  12  64  -2  55 -24
 24  60 -28  76 -17  84   0  88  17  97  34  99  48 109  47 103  41  90  29  80  21  69  -3  56 -21
 25  61 -37  63 -14  88  -1  90  20 100  33  99  43 106  49 105  41  90  28  86  23  67  -1  56 -20
 26  67 -24  60 -17  85  -1  86  19  98  36 101  36 108  42  98  40  90  29  85  15  65  -7  57 -22
 27  61 -21  65 -12  80   4  89  22  97  34 104  46 108  44  98  41  91  28  83  15  68  -5  60 -16
 28  57 -25  65 -17  81   7  92  28  97  32 103  42 102  48  97  38  98  22  82   6  64  -6  66 -21
 29  59 -25  61 -12  90   3  95  25 100  31 101  45 104  48  97  38  89  24  88   0  69  -5  62 -24
 30  59 -22 *** ***  86   7  92  22 104  37 101  45 102  44  99  36  91  22  86  -7  68  -6  59 -13
 31  59 -26 *** ***  81   9 *** *** 103  36 *** *** 101  45  97  39 *** ***  85  13 *** ***  59 -17
