"Noise","variable","value"
0,"rsq_linear",0.599153526293362
0.5,"rsq_linear",0.533391656950674
1,"rsq_linear",0.418872082036745
1.5,"rsq_linear",0.314022648248633
2,"rsq_linear",0.24845370644907
2.5,"rsq_linear",0.149401515792994
3,"rsq_linear",0.101458947593556
0,"rsq_pls",0.601233144833993
0.5,"rsq_pls",0.535812452504756
1,"rsq_pls",0.42188701286924
1.5,"rsq_pls",0.317581545015178
2,"rsq_pls",0.252352779307959
2.5,"rsq_pls",0.15381447809757
3,"rsq_pls",0.106120639175431
0,"rsq_mars",0.737211733993056
0.5,"rsq_mars",0.681828245010142
1,"rsq_mars",0.53646827877964
1.5,"rsq_mars",0.411971484896757
2,"rsq_mars",0.308017834282724
2.5,"rsq_mars",0.19355853127587
3,"rsq_mars",0.14040286606564
0,"rsq_svm",0.717800857870542
0.5,"rsq_svm",0.624657771501072
1,"rsq_svm",0.459112559748423
1.5,"rsq_svm",0.356895590742908
2,"rsq_svm",0.246187154478104
2.5,"rsq_svm",0.136849036130088
3,"rsq_svm",0.111241971599697
0,"rsq_rf",0.719843163769436
0.5,"rsq_rf",0.636852420407818
1,"rsq_rf",0.484237108958198
1.5,"rsq_rf",0.344300707931917
2,"rsq_rf",0.244169828849978
2.5,"rsq_rf",0.0975068987573254
3,"rsq_rf",0.0299333439729179
