"Noise","variable","value"
0,"rsq_linear",0.599153526293362
0.5,"rsq_linear",0.586267584534364
1,"rsq_linear",0.570801381480329
1.5,"rsq_linear",0.558314707929088
2,"rsq_linear",0.554471923439508
2.5,"rsq_linear",0.557897609642527
3,"rsq_linear",0.553363166052883
0,"rsq_pls",0.601233144833993
0.5,"rsq_pls",0.588414056209932
1,"rsq_pls",0.573028092860457
1.5,"rsq_pls",0.560606201013762
2,"rsq_pls",0.55678335314929
2.5,"rsq_pls",0.560191266661243
3,"rsq_pls",0.555680348070766
0,"rsq_mars",0.737211733993056
0.5,"rsq_mars",0.724098938054942
1,"rsq_mars",0.757241035585258
1.5,"rsq_mars",0.752505102568357
2,"rsq_mars",0.726293785934675
2.5,"rsq_mars",0.724098938054942
3,"rsq_mars",0.726510129590761
0,"rsq_svm",0.714475231347556
0.5,"rsq_svm",0.709374734206729
1,"rsq_svm",0.698957495368727
1.5,"rsq_svm",0.723143326196015
2,"rsq_svm",0.707492745435177
2.5,"rsq_svm",0.693121766775508
3,"rsq_svm",0.705460443785031
0,"rsq_rf",0.716517319710388
0.5,"rsq_rf",0.711318804459765
1,"rsq_rf",0.716605802277449
1.5,"rsq_rf",0.732952946798987
2,"rsq_rf",0.72113997375705
2.5,"rsq_rf",0.708053870120591
3,"rsq_rf",0.718788753353135
