"project","article","timestamp","access","agent","views"
"en.wikipedia","Donald_Trump","2016060100","all-access","user",61229
"en.wikipedia","Donald_Trump","2016060200","all-access","user",58852
"en.wikipedia","Donald_Trump","2016060300","all-access","user",60083
"en.wikipedia","Donald_Trump","2016060400","all-access","user",55721
"en.wikipedia","Donald_Trump","2016060500","all-access","user",56325
"en.wikipedia","Donald_Trump","2016060600","all-access","user",61787
"en.wikipedia","Donald_Trump","2016060700","all-access","user",76427
"en.wikipedia","Donald_Trump","2016060800","all-access","user",104835
"en.wikipedia","Donald_Trump","2016060900","all-access","user",75229
"en.wikipedia","Donald_Trump","2016061000","all-access","user",68824
"en.wikipedia","Donald_Trump","2016061100","all-access","user",60401
"en.wikipedia","Donald_Trump","2016061200","all-access","user",64239
"en.wikipedia","Donald_Trump","2016061300","all-access","user",72570
"en.wikipedia","Donald_Trump","2016061400","all-access","user",125660
"en.wikipedia","Donald_Trump","2016061500","all-access","user",120262
"en.wikipedia","Donald_Trump","2016061600","all-access","user",90504
"en.wikipedia","Donald_Trump","2016061700","all-access","user",73572
"en.wikipedia","Donald_Trump","2016061800","all-access","user",59602
"en.wikipedia","Donald_Trump","2016061900","all-access","user",61193
"en.wikipedia","Donald_Trump","2016062000","all-access","user",66146
"en.wikipedia","Donald_Trump","2016062100","all-access","user",77359
"en.wikipedia","Donald_Trump","2016062200","all-access","user",74625
"en.wikipedia","Donald_Trump","2016062300","all-access","user",70306
"en.wikipedia","Donald_Trump","2016062400","all-access","user",85591
"en.wikipedia","Donald_Trump","2016062500","all-access","user",67574
"en.wikipedia","Donald_Trump","2016062600","all-access","user",60845
"en.wikipedia","Donald_Trump","2016062700","all-access","user",56921
"en.wikipedia","Donald_Trump","2016062800","all-access","user",60716
"en.wikipedia","Donald_Trump","2016062900","all-access","user",52798
"en.wikipedia","Donald_Trump","2016063000","all-access","user",52216
"en.wikipedia","Donald_Trump","2016070100","all-access","user",48432
"en.wikipedia","Donald_Trump","2016070200","all-access","user",42633
"en.wikipedia","Donald_Trump","2016070300","all-access","user",43886
"en.wikipedia","Donald_Trump","2016070400","all-access","user",69283
"en.wikipedia","Donald_Trump","2016070500","all-access","user",78879
"en.wikipedia","Donald_Trump","2016070600","all-access","user",67409
"en.wikipedia","Donald_Trump","2016070700","all-access","user",55931
"en.wikipedia","Donald_Trump","2016070800","all-access","user",46328
"en.wikipedia","Donald_Trump","2016070900","all-access","user",39385
"en.wikipedia","Donald_Trump","2016071000","all-access","user",40818
"en.wikipedia","Donald_Trump","2016071100","all-access","user",43431
"en.wikipedia","Donald_Trump","2016071200","all-access","user",43555
"en.wikipedia","Donald_Trump","2016071300","all-access","user",50253
"en.wikipedia","Donald_Trump","2016071400","all-access","user",62046
"en.wikipedia","Donald_Trump","2016071500","all-access","user",82770
"en.wikipedia","Donald_Trump","2016071600","all-access","user",74965
"en.wikipedia","Donald_Trump","2016071700","all-access","user",72793
"en.wikipedia","Donald_Trump","2016071800","all-access","user",121604
"en.wikipedia","Donald_Trump","2016071900","all-access","user",656938
"en.wikipedia","Donald_Trump","2016072000","all-access","user",610551
"en.wikipedia","Donald_Trump","2016072100","all-access","user",444197
"en.wikipedia","Donald_Trump","2016072200","all-access","user",692081
"en.wikipedia","Donald_Trump","2016072300","all-access","user",196995
"en.wikipedia","Donald_Trump","2016072400","all-access","user",145639
"en.wikipedia","Donald_Trump","2016072500","all-access","user",128684
"en.wikipedia","Donald_Trump","2016072600","all-access","user",130287
"en.wikipedia","Donald_Trump","2016072700","all-access","user",140276
"en.wikipedia","Donald_Trump","2016072800","all-access","user",175940
"en.wikipedia","Donald_Trump","2016072900","all-access","user",175544
"en.wikipedia","Donald_Trump","2016073000","all-access","user",115937
"en.wikipedia","Donald_Trump","2016073100","all-access","user",110872
"en.wikipedia","Donald_Trump","2016080100","all-access","user",133360
"en.wikipedia","Donald_Trump","2016080200","all-access","user",140966
"en.wikipedia","Donald_Trump","2016080300","all-access","user",124417
"en.wikipedia","Donald_Trump","2016080400","all-access","user",115212
"en.wikipedia","Donald_Trump","2016080500","all-access","user",103382
"en.wikipedia","Donald_Trump","2016080600","all-access","user",77986
"en.wikipedia","Donald_Trump","2016080700","all-access","user",70752
"en.wikipedia","Donald_Trump","2016080800","all-access","user",72966
"en.wikipedia","Donald_Trump","2016080900","all-access","user",65062
"en.wikipedia","Donald_Trump","2016081000","all-access","user",65016
"en.wikipedia","Donald_Trump","2016081100","all-access","user",63472
"en.wikipedia","Donald_Trump","2016081200","all-access","user",59561
"en.wikipedia","Donald_Trump","2016081300","all-access","user",52039
"en.wikipedia","Donald_Trump","2016081400","all-access","user",50781
"en.wikipedia","Donald_Trump","2016081500","all-access","user",54158
"en.wikipedia","Donald_Trump","2016081600","all-access","user",53181
"en.wikipedia","Donald_Trump","2016081700","all-access","user",57613
"en.wikipedia","Donald_Trump","2016081800","all-access","user",59945
"en.wikipedia","Donald_Trump","2016081900","all-access","user",63924
"en.wikipedia","Donald_Trump","2016082000","all-access","user",53057
"en.wikipedia","Donald_Trump","2016082100","all-access","user",49781
"en.wikipedia","Donald_Trump","2016082200","all-access","user",72719
"en.wikipedia","Donald_Trump","2016082300","all-access","user",121364
"en.wikipedia","Donald_Trump","2016082400","all-access","user",105281
"en.wikipedia","Donald_Trump","2016082500","all-access","user",92777
"en.wikipedia","Donald_Trump","2016082600","all-access","user",70241
"en.wikipedia","Donald_Trump","2016082700","all-access","user",61057
"en.wikipedia","Donald_Trump","2016082800","all-access","user",74354
"en.wikipedia","Donald_Trump","2016082900","all-access","user",105683
"en.wikipedia","Donald_Trump","2016083000","all-access","user",79898
"en.wikipedia","Donald_Trump","2016083100","all-access","user",67695
"en.wikipedia","Donald_Trump","2016090100","all-access","user",73618
"en.wikipedia","Donald_Trump","2016090200","all-access","user",71431
"en.wikipedia","Donald_Trump","2016090300","all-access","user",53901
"en.wikipedia","Donald_Trump","2016090400","all-access","user",52149
"en.wikipedia","Donald_Trump","2016090500","all-access","user",59833
"en.wikipedia","Donald_Trump","2016090600","all-access","user",75268
"en.wikipedia","Donald_Trump","2016090700","all-access","user",62617
"en.wikipedia","Donald_Trump","2016090800","all-access","user",75375
"en.wikipedia","Donald_Trump","2016090900","all-access","user",66677
"en.wikipedia","Donald_Trump","2016091000","all-access","user",55538
"en.wikipedia","Donald_Trump","2016091100","all-access","user",92872
"en.wikipedia","Donald_Trump","2016091200","all-access","user",127382
"en.wikipedia","Donald_Trump","2016091300","all-access","user",92830
"en.wikipedia","Donald_Trump","2016091400","all-access","user",99030
"en.wikipedia","Donald_Trump","2016091500","all-access","user",113195
"en.wikipedia","Donald_Trump","2016091600","all-access","user",92413
"en.wikipedia","Donald_Trump","2016091700","all-access","user",70189
"en.wikipedia","Donald_Trump","2016091800","all-access","user",61443
"en.wikipedia","Donald_Trump","2016091900","all-access","user",62372
"en.wikipedia","Donald_Trump","2016092000","all-access","user",68582
"en.wikipedia","Donald_Trump","2016092100","all-access","user",68717
"en.wikipedia","Donald_Trump","2016092200","all-access","user",69498
"en.wikipedia","Donald_Trump","2016092300","all-access","user",60172
"en.wikipedia","Donald_Trump","2016092400","all-access","user",50856
"en.wikipedia","Donald_Trump","2016092500","all-access","user",61220
"en.wikipedia","Donald_Trump","2016092600","all-access","user",98457
"en.wikipedia","Donald_Trump","2016092700","all-access","user",455960
"en.wikipedia","Donald_Trump","2016092800","all-access","user",191085
"en.wikipedia","Donald_Trump","2016092900","all-access","user",147278
"en.wikipedia","Donald_Trump","2016093000","all-access","user",128288
"en.wikipedia","Donald_Trump","2016100100","all-access","user",122136
"en.wikipedia","Donald_Trump","2016100200","all-access","user",160027
"en.wikipedia","Donald_Trump","2016100300","all-access","user",149034
"en.wikipedia","Donald_Trump","2016100400","all-access","user",127804
"en.wikipedia","Donald_Trump","2016100500","all-access","user",116930
"en.wikipedia","Donald_Trump","2016100600","all-access","user",98514
"en.wikipedia","Donald_Trump","2016100700","all-access","user",103625
"en.wikipedia","Donald_Trump","2016100800","all-access","user",223166
"en.wikipedia","Donald_Trump","2016100900","all-access","user",249923
"en.wikipedia","Donald_Trump","2016101000","all-access","user",483248
"en.wikipedia","Donald_Trump","2016101100","all-access","user",250395
"en.wikipedia","Donald_Trump","2016101200","all-access","user",195978
"en.wikipedia","Donald_Trump","2016101300","all-access","user",210832
"en.wikipedia","Donald_Trump","2016101400","all-access","user",267569
"en.wikipedia","Donald_Trump","2016101500","all-access","user",290713
"en.wikipedia","Donald_Trump","2016101600","all-access","user",288101
"en.wikipedia","Donald_Trump","2016101700","all-access","user",308444
"en.wikipedia","Donald_Trump","2016101800","all-access","user",304740
"en.wikipedia","Donald_Trump","2016101900","all-access","user",371432
"en.wikipedia","Donald_Trump","2016102000","all-access","user",473220
"en.wikipedia","Donald_Trump","2016102100","all-access","user",240983
"en.wikipedia","Donald_Trump","2016102200","all-access","user",151674
"en.wikipedia","Donald_Trump","2016102300","all-access","user",149127
"en.wikipedia","Donald_Trump","2016102400","all-access","user",143833
"en.wikipedia","Donald_Trump","2016102500","all-access","user",127655
"en.wikipedia","Donald_Trump","2016102600","all-access","user",135929
"en.wikipedia","Donald_Trump","2016102700","all-access","user",147373
"en.wikipedia","Donald_Trump","2016102800","all-access","user",110416
"en.wikipedia","Donald_Trump","2016102900","all-access","user",81915
"en.wikipedia","Donald_Trump","2016103000","all-access","user",96212
"en.wikipedia","Donald_Trump","2016103100","all-access","user",110537
"en.wikipedia","Donald_Trump","2016110100","all-access","user",118342
"en.wikipedia","Donald_Trump","2016110200","all-access","user",143083
"en.wikipedia","Donald_Trump","2016110300","all-access","user",164792
"en.wikipedia","Donald_Trump","2016110400","all-access","user",169976
"en.wikipedia","Donald_Trump","2016110500","all-access","user",150577
"en.wikipedia","Donald_Trump","2016110600","all-access","user",200110
"en.wikipedia","Donald_Trump","2016110700","all-access","user",272393
"en.wikipedia","Donald_Trump","2016110800","all-access","user",527751
"en.wikipedia","Donald_Trump","2016110900","all-access","user",6125896
"en.wikipedia","Donald_Trump","2016111000","all-access","user",2674904
"en.wikipedia","Donald_Trump","2016111100","all-access","user",1547745
"en.wikipedia","Donald_Trump","2016111200","all-access","user",1009451
"en.wikipedia","Donald_Trump","2016111300","all-access","user",736074
"en.wikipedia","Donald_Trump","2016111400","all-access","user",801404
"en.wikipedia","Donald_Trump","2016111500","all-access","user",511348
"en.wikipedia","Donald_Trump","2016111600","all-access","user",405007
"en.wikipedia","Donald_Trump","2016111700","all-access","user",319074
"en.wikipedia","Donald_Trump","2016111800","all-access","user",271002
"en.wikipedia","Donald_Trump","2016111900","all-access","user",252470
"en.wikipedia","Donald_Trump","2016112000","all-access","user",240093
"en.wikipedia","Donald_Trump","2016112100","all-access","user",237567
"en.wikipedia","Donald_Trump","2016112200","all-access","user",200803
"en.wikipedia","Donald_Trump","2016112300","all-access","user",170477
"en.wikipedia","Donald_Trump","2016112400","all-access","user",151432
"en.wikipedia","Donald_Trump","2016112500","all-access","user",129917
"en.wikipedia","Donald_Trump","2016112600","all-access","user",115301
"en.wikipedia","Donald_Trump","2016112700","all-access","user",116033
"en.wikipedia","Donald_Trump","2016112800","all-access","user",110044
"en.wikipedia","Donald_Trump","2016112900","all-access","user",103592
"en.wikipedia","Donald_Trump","2016113000","all-access","user",106494
"en.wikipedia","Donald_Trump","2016120100","all-access","user",99964
"en.wikipedia","Donald_Trump","2016120200","all-access","user",98429
"en.wikipedia","Donald_Trump","2016120300","all-access","user",81037
"en.wikipedia","Donald_Trump","2016120400","all-access","user",83034
"en.wikipedia","Donald_Trump","2016120500","all-access","user",88142
"en.wikipedia","Donald_Trump","2016120600","all-access","user",87620
